genus	genome_size
Abiotrophia	2045984
Abyssalbus	4365036
Abyssibius	3208812
Abyssicoccus	1745789
Abyssogena	1542177
Acanthamoeba	1162582
Acaryochloris	7594200
Aceticella	2267618
Acetilactobacillus	1616430
Acetivibrio	3826666
Acetoanaerobium	2715461
Acetobacter	3312181
Acetobacterium	3946033
Acetohalobium	2469596
Acetomicrobium	2160700
Acholeplasma	1517810
Achromobacter	6615439
Acidaminococcus	2364007
Acidianus	2478954
Acidibrevibacterium	4037611
Acididesulfobacillus	4520225
Acidiferrobacter	3350334
Acidihalobacter	3566941
Acidilobus	1517751
Acidilutibacter	3743723
Acidimicrobium	2158157
Acidiphilium	4200088
Acidipropionibacterium	3435022
Acidisarcina	7600726
Acidisoma	4991095
Acidithiobacillus	3019256
Acidobacterium	4127356
Acidocella	3735595
Acidothermus	2443540
Acidovorax	4844536
Aciduliprofundum	1461934
Aciduricibacillus	2730537
Acinetobacter	3947170
Actibacterium	4147426
Actimicrobium	4150713
Actinacidiphila	8930867
Actinarchaeum	3748090
Actinoallomurus	11795300
Actinoalloteichus	6826418
Actinobacillus	2331065
Actinobaculum	2768961
Actinocatenispora	7235466
Actinokineospora	7750257
Actinomadura	9958593
Actinomarinicola	3715454
Actinomyces	3052267
Actinomycetospora	6022264
Actinoplanes	9883312
Actinopolyspora	5243930
Actinosynnema	8189858
Actinotalea	3546809
Actinotignum	2106661
Actomonas	6109182
Acuticoccus	5345557
Adhaeretor	5996859
Adhaeribacter	6580763
Adlercreutzia	2900307
Advenella	4074667
Aedoeadaptatus	1587771
Aegicerativicinus	4094245
Aeoliella	6608792
Aequoribacter	3095392
Aequorivita	3472432
Aeribacillus	3988522
Aerococcus	2025481
Aeromicrobium	3544534
Aeromonas	4803526
Aeropyrum	1632845
Aerosticca	2874969
Aestuariibaculum	3759988
Aestuariibius	3520587
Aestuariispira	4361962
Afipia	3806298
Agaribacterium	4280525
Agarilytica	7113812
Agarivorans	4764175
Agathobacter	3637827
Agathobaculum	4005854
Aggregatibacter	2173381
Aggregatimonas	4723614
Agreia	3436992
Agrobacterium	5685280
Agrococcus	2795440
Agromyces	3713646
Ahniella	6120935
Ahrensia	3860280
Akkermansia	2858828
Alcaligenes	4151784
Alcanivorax	3107780
Algibacter	4334475
Algicella	3994758
Algihabitans	4739774
Algimonas	3169281
Algoriphagus	5095659
Aliamphritea	5210777
Aliarcobacter	2174231
Alicycliphilus	4907930
Alicyclobacillus	4485790
Aliiglaciecola	4411932
Aliirhizobium	5885686
Aliiroseovarius	3351828
Aliivibrio	4553396
Alistipes	3450649
Alkalibacter	2449552
Alkalibacterium	2514473
Alkalicella	3695371
Alkalicoccus	3694897
Alkalihalobacillus	4297489
Alkalihalophilus	4104658
Alkalilimnicola	3275944
Alkalimarinus	4589650
Alkaliphilus	3972021
Alkalitalea	4775573
Alloacidobacterium	6271114
Alloactinosynnema	7405112
Alloalcanivorax	4732468
Allobacillus	2700297
Allobaculum	2936281
Allobranchiibius	3552513
Allochromatium	3526844
Allocoleopsis	7966510
Allofrancisella	1695399
Allomeiothermus	3721669
Allomuricauda	3842422
Allorhizobium	5848248
Allosaccharopolyspora	4832009
Alloyangia	5231728
Alteracholeplasma	1554229
Altererythrobacter	2978792
Alteriqipengyuania	2718770
Alteromonas	4636408
Alysiella	2565669
Amedibacterium	2742197
Aminipila	3199364
Aminithiophilus	3108337
Aminobacter	6410457
Aminobacterium	2204211
Ammonifex	2157067
Amniculibacterium	2839245
Amorphoplanes	9376071
Amphibacillus	2569486
Amphritea	4172521
Amycolatopsis	9738663
Amygdalobacter	1542647
Amylibacter	3452935
Amylolactobacillus	1610352
Anabaena	6291048
Anaerobacillus	5227144
Anaerobutyricum	3590189
Anaerococcus	1950891
Anaerocolumna	5936457
Anaerohalosphaera	4250973
Anaerolinea	3532378
Anaeromicropila	5089009
Anaeromyxobacter	5282217
Anaeropeptidivorans	3757330
Anaerostipes	3250860
Anaerotignum	3112627
Anaerotruncus	3536288
Anaplasma	1381101
Anatilimnocola	9007740
Ancylobacter	4672467
Anderseniella	4613965
Aneurinibacillus	4213961
Anoxybacillus	3377462
Anoxybacter	3557532
Anseongella	4322684
Antarcticibacterium	4048621
Antarctobacter	5331190
Anthocerotibacter	4187797
Antiquaquibacter	2895552
Apibacter	2503496
Apilactobacillus	1522967
Aquabacterium	4256308
Aquaspirillum	3962240
Aquella	2820660
Aquibium	5716912
Aquicella	2729040
Aquicoccus	3785774
Aquifex	1590791
Aquihabitans	4938963
Aquiluna	1411027
Aquimarina	5214529
Aquincola	7110107
Aquipluma	5712279
Aquirhabdus	3777352
Aquirufa	2691671
Aquisalimonas	3972634
Aquisediminimonas	3406525
Aquisphaera	10526296
Aquitalea	4515121
Arachidicoccus	4566810
Arachnia	3380534
Arcanobacterium	1966818
Archaeoglobus	2007396
Archangium	12719171
Arcobacter	2874244
Arcticibacter	4865459
Arcticibacterium	5379839
Arenibacter	5275894
Aristaeella	3420564
Aristophania	2042557
Aromatoleum	4719461
Arsenicicoccus	3525271
Arsenophonus	4014850
Arthrobacter	4293490
Asaia	3198265
Ashbya	8867527
Asticcacaulis	4138438
Athalassotoga	2044999
Atlantibacter	4543434
Atopobium	3004013
Atribacter	3101225
Aurantiacibacter	2928390
Aurantibacillus	4604442
Aurantimicrobium	1640239
Aurantimonas	4427212
Aureibacter	6171275
Aureibaculum	5168958
Aureimonas	4398723
Aureispira	7592392
Aureliella	8439957
Auritidibacter	2707113
Australozyma	12068158
Austwickia	3631970
Avibacterium	2474575
Azoarcus	5043414
Azonexus	3772213
Azorhizobium	5369772
Azospira	3700883
Azospirillum	7319413
Azotobacter	5308290
Babesia	8084719
Bacillus	4525416
Bacterioplanes	4293726
Bacterioplanoides	3904512
Bacteriovorax	3845590
Bacteroides	5701353
Baekduia	5537748
Barnesiella	3076856
Barrientosiimonas	3684144
Bartonella	2091244
Basfia	2253194
Basilea	1959069
Bathymodiolus	2832685
Bdellovibrio	3781798
Beggiatoa	4265833
Beijerinckia	4418616
Belliella	4196595
Bergeyella	2095621
Bermanella	3550395
Bernardetia	5500422
Berryella	1967093
Beutenbergia	4669183
Bibersteinia	2398337
Bifidobacterium	2311905
Billgrantia	4753533
Bisgaardia	2125638
Bizionia	3362199
Blastobotrys	13192792
Blastochloris	3781020
Blastococcus	4472258
Blastomonas	3788376
Blautia	4618560
Bodo	1385869
Bombilactobacillus	1658154
Bombiscardovia	1937113
Bordetella	4212157
Borrelia	1376966
Borreliella	1193429
Bosea	6159800
Boudabousia	2207832
Brachybacterium	3813248
Brachyspira	2878498
Bradymonas	5045683
Bradyrhizobium	8794554
Bremerella	6703258
Brenneria	4940398
Breoghania	5029620
Brettanomyces	11633950
Brevefilum	2574431
Brevibacillus	5585013
Brevibacterium	3924149
Brevundimonas	3340966
Breznakiella	4646109
Brochothrix	2594318
Brooklawnia	3211969
Brucella	3447394
Brucepastera	3239032
Buchananella	2372859
Bulleidia	1545033
Burkholderia	7214410
Buttiauxella	5077259
Butyricimonas	4861267
Butyrivibrio	4294654
Caballeronia	7550432
Caenibius	3924783
Caldalkalibacillus	3344914
Caldanaerobacter	2689445
Caldibacillus	4016170
Caldicellulosiruptor	2713581
Caldichromatium	2989870
Caldifermentibacillus	3963053
Caldilinea	5144873
Caldimicrobium	1814952
Caldimonas	4576519
Caldinitratiruptor	3599694
Caldisericum	1558103
Caldisphaera	1546846
Calditerrivibrio	2216552
Caldithrix	4978541
Caldivirga	2077567
Caloramator	2771920
Caloranaerobacter	2539490
Calothrix	6597402
Caminibacter	1778726
Caminicella	2482259
Campylobacter	1728498
Candida	13600298
Candidatus	2096683
Candidozyma	12385476
Capillimicrobium	5953270
Capnocytophaga	2714029
Caproicibacter	3763879
Caproicibacterium	2445973
Caproiciproducens	3377115
Capsulimonas	7645051
Carboxydocella	2678168
Carboxydochorda	3313549
Carboxydothermus	2401520
Cardinium	1176996
Cardiobacterium	2649060
Carnobacterium	2940002
Casimicrobium	4465898
Castellaniella	3659748
Catalinimonas	7134482
Catellatospora	8595826
Catenibacterium	2650196
Catenovulum	4692771
Catenulispora	10467782
Caulobacter	4530019
Cedecea	5026492
Celeribacter	4074510
Celerinatantimonas	4005136
Cellulomonas	4075550
Cellulophaga	4229075
Cellulosilyticum	4747005
Cellulosimicrobium	4492155
Cellvibrio	4958174
Cereibacter	4630552
Cetobacterium	3194963
Chakrabartyella	3403101
Changchengzhania	4130958
Changpingibacter	2661583
Chania	5488183
Chelativorans	5762282
Chelatococcus	4669454
Chenggangzhangella	5542510
Chimaeribacter	5012635
Chitinibacter	3587729
Chitinimonas	5470587
Chitiniphilus	4354380
Chitinolyticbacter	4325960
Chitinophaga	7660665
Chlamydia	1091735
Chlamydiifrater	1203946
Chlamydophila	1160112
Chloracidobacterium	3719482
Chlorobaculum	2370313
Chlorobium	2638044
Chloroflexus	4971736
Chloroherpeton	3293456
Chondrinema	10142296
Chondromyces	11388132
Chordicoccus	3267205
Christensenella	2836788
Christiangramia	3712162
Chromobacterium	4934278
Chromohalobacter	3645907
Chroococcidiopsis	6822580
Chryseobacterium	4565350
Chryseoglobus	2544477
Chryseolinea	8241389
Chryseomicrobium	2710361
Ciceribacter	5043386
Citricoccus	3411934
Citrifermentans	4536821
Citrobacter	5246615
Citromicrobium	3258499
Claveliimonas	3152416
Clavibacter	3259956
Clavispora	12091462
Cloacibacillus	3585187
Cloacibacterium	2763413
Clostridioides	4162890
Clostridium	3929178
Cnuibacter	4351649
Cobetia	4198923
Cognaticolwellia	4661274
Cognatishimia	3232164
Cohnella	7235198
Collimonas	5311555
Collinsella	2290263
Colwellia	4718889
Comamonas	5098249
Commensalibacter	1992245
Companilactobacillus	2548036
Conchiformibius	2151685
Conexibacter	4484593
Conexivisphaera	1593902
Constantimarinum	2987299
Coprobacter	3808002
Coprococcus	3243096
Coprothermobacter	1424912
Coraliomargarita	4567421
Coralliovum	3918007
Corallococcus	9556594
Coriobacterium	2115681
Corynebacterium	2556715
Costertonia	3910334
Cotonvirus	1476527
Couchioplanes	8421026
Coxiella	1992946
Coxiella-like	1507337
Crassaminicella	3476204
Crinalium	5620407
Croceibacter	2973663
Croceibacterium	3358068
Croceicoccus	3844078
Croceimicrobium	4035598
Crocosphaera	5460377
Cronobacter	4538659
Crossiella	9170171
Cruoricaptor	2120336
Cryobacterium	4165827
Cryptobacterium	1617804
Cryptosporidium	9172050
Cuniculiplasma	1908807
Cupriavidus	7180408
Curtobacterium	3697201
Cutibacterium	2532977
Cyanobacterium	3436479
Cyanobium	2942169
Cyberlindnera	12292641
Cyclobacterium	6062119
Cycloclasticus	2482930
Cyclonatronum	4294247
Cylindrospermopsis	3870103
Cysteiniphilum	2690761
Cystobacter	12349744
Cytobacillus	5171910
Cytophaga	4433218
Dactylococcopsis	3781008
Dactylosporangium	11404317
Debaryomyces	12959024
Debaryomycetaceae	11144167
Dechloromonas	3957775
Deefgea	3520539
Deferribacter	2542933
Defluviicoccus	4226795
Defluviimonas	4339523
Defluviitalea	3014560
Defluviitoga	2053097
Dehalobacter	3277489
Dehalobacterium	3766545
Dehalococcoides	1409604
Dehalogenimonas	1920877
Deinococcus	3685739
Delftia	6756008
Demequina	2948644
Denitratisoma	4293412
Denitrificimonas	2830546
Denitrobacterium	2446250
Denitrovibrio	3222077
Dermabacter	2345616
Dermacoccus	3097137
Dermatobacter	4661060
Dermatophilus	2627820
Desemzia	2419701
Desulfarculus	3655731
Desulfatibacillum	6517073
Desulfitobacterium	4425788
Desulfobacca	3282536
Desulfobacula	5197905
Desulfobaculum	3388342
Desulfobulbus	3242766
Desulfocapsa	4023512
Desulfococcus	4455687
Desulfocurvibacter	4200534
Desulfofarcimen	4545624
Desulfoferula	4479191
Desulfofundulus	3601386
Desulfofustis	4232141
Desulfoglaeba	3365583
Desulfohalobium	2909567
Desulfolithobacter	3596428
Desulfoluna	6263790
Desulfolutivibrio	4309054
Desulfomarina	4307339
Desulfomicrobium	3531203
Desulfomonile	6527027
Desulfonema	7467911
Desulfopila	6316145
Desulforamulus	3605766
Desulforapulum	5657782
Desulfosarcina	6968258
Desulfoscipio	4558367
Desulfosediminicola	6202510
Desulfosporosinus	5242609
Desulfosudis	3944167
Desulfotalea	3659634
Desulfotomaculum	2892255
Desulfovibrio	3486254
Desulfurispirillum	2940685
Desulfurivibrio	3097763
Desulfurobacterium	1541968
Desulfurococcus	1354659
Desulfuromonas	3952389
Devosia	4140979
Devriesea	2958880
Dialister	2000622
Diaminobutyricibacter	4196112
Diaminobutyricimonas	3222608
Diaphorobacter	4698746
Dichelobacter	1389350
Dickeya	4902892
Dictyoglomus	1907773
Dietzia	3809994
Dinoroseobacter	4488086
Dissulfurimicrobium	2025450
Dissulfurispira	2370875
Dokdonella	4446619
Dokdonia	3402483
Dolichospermum	5565360
Dolosigranulum	1959559
Domibacillus	5102716
Dongshaea	5112152
Dorea	3183613
Draconibacterium	4895399
Duffyella	4451035
Duganella	6448098
Duncaniella	3384950
Dyadobacter	6778791
Dyella	4690203
Dysgonomonas	4494898
Dysosmobacter	3576111
Echinicola	5825760
Ectobacillus	3893080
Ectothiorhodospira	3550080
Edaphobacter	4545388
Edwardsiella	3879421
Effusibacillus	3454394
Eggerthella	3512905
Egibacter	4637169
Egicoccus	3980161
Ehrlichia	1339483
Eikenella	2209172
Eleftheria	7032382
Elioraea	3367643
Elizabethkingia	4096696
Elusimicrobium	1643562
Emergencia	4384998
Empedobacter	3348669
Emticicia	5198925
Encephalitozoon	2715012
Endomicrobium	1588979
Endozoicomonas	6357094
Ensifer	7581947
Enterobacter	5030562
Enterocloster	6441990
Enterococcus	3010620
Entomobacter	2701842
Entomomonas	3300104
Entomospira	1769644
Ephemeroptericola	2723407
Epidermidibacterium	4018808
Epilithonimonas	3527870
Eremothecium	9050642
Erwinia	4487110
Erysipelothrix	1927987
Erythrobacter	3244876
Escherichia	5140379
Eshraghiella	2521323
Ethanoligenens	3020471
Eubacterium	4069339
Euhalothece	3524308
Euzebya	6371455
Euzebyella	4707469
Evansella	4792708
Ewingella	5101916
Exiguobacterium	3090103
Ezakiella	1864280
Facklamia	2077311
Faecalibacillus	2869982
Faecalibacter	3003766
Faecalibacterium	2954627
Faecalibaculum	2542486
Falsihalocynthiibacter	3851340
Falsirhodobacter	2779574
Fannyhessea	1447017
Fastidiosipila	1785891
Fenollaria	1619975
Ferribacterium	4250232
Ferrigenium	2572603
Ferrimonas	4467734
Ferriphaselus	2717229
Ferroglobus	2196266
Ferroplasma	1881077
Ferrovibrio	4264634
Ferruginibacter	3607752
Fervidibacillus	3044253
Fervidicoccus	1319206
Fervidobacterium	2083428
Fibrobacter	3842819
Fictibacillus	4433638
